"","Vial","Concentration.ug.uL","ug.ul.20"
"1","105-H",0.2209459277243,4.418918554486
"2","105-S",0.0522239434052979,1.04447886810596
"3","111-H",0.410939451613607,8.21878903227213
"4","111-S",0.233998917915169,4.67997835830337
"5","117-H",0.264939339108338,5.29878678216676
"6","117-S",0.199190944072853,3.98381888145706
"7","123-H",0.22239625996773,4.4479251993546
"8","123-S",0.266389671351768,5.32779342703536
"9","129-H",0.27557510889349,5.5115021778698
"10","129-S",0.288628099084358,5.77256198168717
"11","135-H",0.308932750492376,6.17865500984752
"12","135-S",0.233515473834025,4.67030947668051
"13","147-H",0.151329980039669,3.02659960079338
"14","147-S",0.013548416913836,0.27096833827672
"15","15-H",0.204508828965429,4.09017657930858
"16","15-S",0.0232172985367015,0.46434597073403
"17","153-H",0.295396316220364,5.90792632440729
"18","153-S",0.0904160258156164,1.80832051631233
"19","159-H",0.166897094694999,3.33794189389998
"20","159-S",0.000309317580198158,0.00618635160396316
"21","165-H",0.152908808067038,3.05817616134077
"22","165-S",0.0147214916817331,0.294429833634662
"23","171-H",0.147822158384144,2.95644316768287
"24","171-S",0.0460891647262503,0.921783294525005
"25","177-H",0.10840062334171,2.1680124668342
"26","177-S",0.074065737982171,1.48131475964342
"27","183-H",0.135105534176907,2.70211068353814
"28","183-S",0.0227753536796497,0.455507073592993
"29","189-H",0.257185126566379,5.14370253132759
"30","189-S",0.166473207221424,3.32946414442848
"31","195-H",0.204623079843134,4.09246159686269
"32","195-S",0.0503280394619958,1.00656078923992
"33","201-H",0.157571570276359,3.15143140552717
"34","201-S",0.0189603664174787,0.379207328349573
"35","207-H",0.085510699768684,1.71021399537368
"36","207-S",0.0554146891448905,1.10829378289781
"37","21-H",0.0570583842167306,1.14116768433461
"38","21-S",0.124257111495646,2.48514222991291
"39","213-H",0.112639498077456,2.25278996154911
"40","213-S",0.0117542793667112,0.235085587334224
"41","219-H",0.103313973658815,2.06627947317631
"42","219-S",0.0299814407304171,0.599628814608342
"43","225-H",0.0583819014599124,1.16763802919825
"44","225-S",0.0236231286267988,0.472462572535975
"45","231-H",0.245316277306292,4.90632554612584
"46","231-S",0.0554146891448905,1.10829378289781
"47","237-H",0.300845536344559,6.01691072689117
"48","237-S",0.0600774513542106,1.20154902708421
"49","243-H",0.459379451461443,9.18758902922885
"50","243-S",0.198688655213091,3.97377310426181
"51","249-H",0.204623079843134,4.09246159686269
"52","249-S",0.0935645617666006,1.87129123533201
"53","255-H",0.0951188158363739,1.90237631672748
"54","255-S",0.0927167868194514,1.85433573638903
"55","261-H",0.231327990678331,4.62655981356663
"56","261-S",0.115606710392477,2.31213420784955
"57","267-H",0.397491880319557,7.94983760639115
"58","267-S",0.0571102390391887,1.14220478078377
"59","27-H",0.208376381614575,4.1675276322915
"60","27-S",0.048839834837295,0.976796696745899
"61","273-H",0.143159396174824,2.86318792349647
"62","273-S",0.0363397528340355,0.726795056680709
"63","279-H",0.575948506694446,11.5189701338889
"64","279-S",0.125356122284692,2.50712244569385
"65","285-H",0.353407583067804,7.06815166135607
"66","285-S",0.104585636079539,2.09171272159078
"67","291-H",0.252522364357059,5.05044728714118
"68","291-S",0.0299814407304171,0.599628814608342
"69","33-H",0.363561931661566,7.27123863323132
"70","33-S",0.102018683763055,2.0403736752611
"71","39-H",0.422058665479902,8.44117330959804
"72","39-S",0.553072011469729,11.0614402293946
"73","45-H",0.264939339108338,5.29878678216676
"74","45-S",0.137310101686514,2.74620203373028
"75","51-H",0.30651553008666,6.13031060173319
"76","51-S",0.302647977437513,6.05295954875027
"77","57-H",0.244634687700321,4.89269375400641
"78","57-S",0.0372371768898564,0.744743537797128
"79","63-H",0.0338530683218535,0.67706136643707
"80","63-S",-0.0101403430621844,-0.202806861243688
"81","69-H",0.174051851853403,3.48103703706806
"82","69-S",0.032886180159567,0.657723603191339
"83","75-H",0.346157944740408,6.92315889480816
"84","75-S",0.232548585671739,4.65097171343478
"85","81-H",0.185171065719698,3.70342131439396
"86","81-S",0.14552865106595,2.91057302131899
"87","87-H",0.128608108225935,2.5721621645187
"88","87-S",0.0996014633573387,1.99202926714677
"89","93-H",0.237866470564315,4.7573294112863
"90","93-S",0.0299855156727073,0.599710313454146
"91","99-H",0.264455895027195,5.2891179005439
"92","99-S",0.0299855156727073,0.599710313454146
